Date;Close;;;;;;
03/07/2017;146.17;;;;;;
30/06/2017;149.41;;;;;;
29/06/2017;150.09;;;;;;
28/06/2017;153.41;;;;;;
27/06/2017;151.03;;;;;;
26/06/2017;157.50;;;;;;
23/06/2017;158.02;;;;;;
22/06/2017;154.89;;;;;;
21/06/2017;155.03;;;;;;
20/06/2017;152.05;;;;;;
19/06/2017;153.40;;;;;;
16/06/2017;152.38;;;;;;
15/06/2017;151.76;;;;;;
14/06/2017;152.20;;;;;;
13/06/2017;152.72;;;;;;
12/06/2017;151.44;;;;;;
09/06/2017;158.03;;;;;;
08/06/2017;165.88;;;;;;
07/06/2017;165.61;;;;;;
06/06/2017;165.17;;;;;;
05/06/2017;165.06;;;;;;
02/06/2017;165.18;;;;;;
01/06/2017;162.99;;;;;;
31/05/2017;163.07;;;;;;
30/05/2017;163.22;;;;;;
26/05/2017;162.43;;;;;;
25/05/2017;163.05;;;;;;
24/05/2017;157.75;;;;;;
23/05/2017;157.95;;;;;;
22/05/2017;157.16;;;;;;
19/05/2017;157.02;;;;;;
18/05/2017;155.70;;;;;;
17/05/2017;153.20;;;;;;
16/05/2017;159.41;;;;;;
15/05/2017;160.02;;;;;;
12/05/2017;160.81;;;;;;
11/05/2017;158.54;;;;;;
10/05/2017;160.28;;;;;;
09/05/2017;157.46;;;;;;
08/05/2017;156.38;;;;;;
05/05/2017;156.60;;;;;;
04/05/2017;157.25;;;;;;
03/05/2017;155.59;;;;;;
02/05/2017;156.45;;;;;;
01/05/2017;155.35;;;;;;
28/04/2017;152.20;;;;;;
27/04/2017;153.08;;;;;;
26/04/2017;150.17;;;;;;
25/04/2017;152.16;;;;;;
24/04/2017;143.83;;;;;;
21/04/2017;142.87;;;;;;
20/04/2017;141.18;;;;;;
19/04/2017;139.76;;;;;;
18/04/2017;143.36;;;;;;
17/04/2017;147.25;;;;;;
13/04/2017;142.92;;;;;;
12/04/2017;143.83;;;;;;
11/04/2017;144.35;;;;;;
10/04/2017;143.85;;;;;;
07/04/2017;143.11;;;;;;
06/04/2017;143.74;;;;;;
05/04/2017;143.62;;;;;;
04/04/2017;145.50;;;;;;
03/04/2017;146.92;;;;;;
31/03/2017;147.81;;;;;;
30/03/2017;148.06;;;;;;
29/03/2017;146.47;;;;;;
28/03/2017;145.17;;;;;;
27/03/2017;144.06;;;;;;
24/03/2017;142.02;;;;;;
23/03/2017;141.84;;;;;;
22/03/2017;142.65;;;;;;
21/03/2017;142.42;;;;;;
20/03/2017;145.83;;;;;;
17/03/2017;145.11;;;;;;
16/03/2017;144.39;;;;;;
15/03/2017;145.25;;;;;;
14/03/2017;143.19;;;;;;
13/03/2017;143.52;;;;;;
10/03/2017;140.89;;;;;;
09/03/2017;140.53;;;;;;
08/03/2017;140.32;;;;;;
07/03/2017;141.43;;;;;;
06/03/2017;141.94;;;;;;
03/03/2017;139.14;;;;;;
02/03/2017;139.53;;;;;;
01/03/2017;142.65;;;;;;
28/02/2017;142.13;;;;;;
27/02/2017;143.41;;;;;;
24/02/2017;143.25;;;;;;
23/02/2017;142.78;;;;;;
22/02/2017;143.86;;;;;;
21/02/2017;142.60;;;;;;
17/02/2017;142.22;;;;;;
16/02/2017;142.01;;;;;;
15/02/2017;142.27;;;;;;
14/02/2017;140.82;;;;;;
13/02/2017;143.20;;;;;;
10/02/2017;144.82;;;;;;
09/02/2017;144.14;;;;;;
08/02/2017;144.74;;;;;;
07/02/2017;144.00;;;;;;
06/02/2017;140.97;;;;;;
03/02/2017;140.25;;;;;;
02/02/2017;139.20;;;;;;
01/02/2017;140.78;;;;;;
31/01/2017;140.71;;;;;;
30/01/2017;141.22;;;;;;
